cycle,residual_L2,rel_residual
1,1.68433e+08,0.397093
2,1.05448e+08,0.248602
3,7.89845e+07,0.186212
4,6.41221e+07,0.151173
5,5.44719e+07,0.128422
6,4.76412e+07,0.112318
7,4.25209e+07,0.100246
8,3.85221e+07,0.0908188
9,3.53018e+07,0.0832267
10,3.26457e+07,0.0769649
11,3.04127e+07,0.0717003
12,2.85055e+07,0.0672039
13,2.68555e+07,0.0633138
14,2.54118e+07,0.0599103
15,2.41367e+07,0.0569042
16,2.30013e+07,0.0542273
17,2.19828e+07,0.0518261
18,2.10634e+07,0.0496587
19,2.02288e+07,0.0476909
20,1.94672e+07,0.0458953
21,1.87692e+07,0.0442498
22,1.81267e+07,0.0427352
23,1.75332e+07,0.0413359
24,1.6983e+07,0.0400387
25,1.64713e+07,0.0388324
26,1.59941e+07,0.0377072
27,1.5548e+07,0.0366555
28,1.51295e+07,0.0356691
29,1.47365e+07,0.0347425
30,1.43664e+07,0.0338699
31,1.40172e+07,0.0330466
32,1.36871e+07,0.0322685
33,1.33745e+07,0.0315314
34,1.3078e+07,0.0308324
35,1.27964e+07,0.0301684
36,1.25285e+07,0.0295368
37,1.22732e+07,0.028935
38,1.20297e+07,0.0283608
39,1.17972e+07,0.0278127
40,1.15748e+07,0.0272884
41,1.13619e+07,0.0267865
42,1.11579e+07,0.0263056
43,1.09623e+07,0.0258444
44,1.07743e+07,0.0254012
45,1.05938e+07,0.0249756
46,1.04201e+07,0.0245662
47,1.02528e+07,0.0241719
48,1.00917e+07,0.023792
49,9.93636e+06,0.0234257
50,9.78647e+06,0.0230724
51,9.64164e+06,0.0227309
52,9.50179e+06,0.0224012
53,9.36647e+06,0.0220822
54,9.23561e+06,0.0217737
55,9.10894e+06,0.021475
56,8.98620e+06,0.0211857
57,8.86717e+06,0.020905
58,8.75173e+06,0.0206329
59,8.63976e+06,0.0203689
60,8.53117e+06,0.0201129
61,8.42555e+06,0.0198639
62,8.32295e+06,0.019622
63,8.2232e+06,0.0193868
64,8.12623e+06,0.0191582
65,8.03183e+06,0.0189357
66,7.93998e+06,0.0187191
67,7.85048e+06,0.0185081
68,7.76324e+06,0.0183024
69,7.67831e+06,0.0181022
70,7.59549e+06,0.017907
71,7.5147e+06,0.0177165
72,7.43581e+06,0.0175305
73,7.35894e+06,0.0173493
74,7.28377e+06,0.0171721
75,7.21043e+06,0.0169991
76,7.13874e+06,0.0168301
77,7.06869e+06,0.016665
78,7.00027e+06,0.0165037
79,6.9333e+06,0.0163458
80,6.86782e+06,0.0161914
81,6.80379e+06,0.0160405
82,6.74107e+06,0.0158926
83,6.67968e+06,0.0157479
84,6.61959e+06,0.0156062
85,6.5607e+06,0.0154674
86,6.50309e+06,0.0153315
87,6.44658e+06,0.0151983
88,6.39118e+06,0.0150677
89,6.33693e+06,0.0149398
90,6.28368e+06,0.0148143
91,6.23144e+06,0.0146911
92,6.18028e+06,0.0145705
93,6.13006e+06,0.0144521
94,6.08072e+06,0.0143358
95,6.03232e+06,0.0142217
96,5.98487e+06,0.0141098
97,5.9382e+06,0.0139998
98,5.89233e+06,0.0138916
99,5.84737e+06,0.0137856
100,5.80319e+06,0.0136815
101,5.75972e+06,0.013579
102,5.717e+06,0.0134783
103,5.67509e+06,0.0133795
104,5.63374e+06,0.013282
105,5.59316e+06,0.0131863
106,5.55332e+06,0.0130924
107,5.51392e+06,0.0129995
108,5.47535e+06,0.0129086
109,5.43732e+06,0.0128189
110,5.39995e+06,0.0127308
111,5.36312e+06,0.012644
112,5.32694e+06,0.0125587
113,5.29124e+06,0.0124745
114,5.25616e+06,0.0123918
115,5.22154e+06,0.0123102
116,5.18748e+06,0.0122299
117,5.15395e+06,0.0121508
118,5.12088e+06,0.0120729
119,5.08831e+06,0.0119961
120,5.05622e+06,0.0119204
121,5.02463e+06,0.0118459
122,4.99343e+06,0.0117724
123,4.96263e+06,0.0116998
124,4.9324e+06,0.0116285
125,4.90251e+06,0.011558
126,4.87313e+06,0.0114888
127,4.84403e+06,0.0114202
128,4.81535e+06,0.0113526
129,4.78704e+06,0.0112858
130,4.75924e+06,0.0112203
131,4.73169e+06,0.0111553
132,4.7046e+06,0.0110915
133,4.67777e+06,0.0110282
134,4.65135e+06,0.0109659
135,4.62529e+06,0.0109045
136,4.5995e+06,0.0108437
137,4.57406e+06,0.0107837
138,4.54895e+06,0.0107245
139,4.52422e+06,0.0106662
140,4.49967e+06,0.0106083
141,4.47548e+06,0.0105513
142,4.45173e+06,0.0104953
143,4.42813e+06,0.0104397
144,4.40483e+06,0.0103847
145,4.38176e+06,0.0103303
146,4.35911e+06,0.0102769
147,4.33661e+06,0.0102239
148,4.3144e+06,0.0101715
149,4.29243e+06,0.0101197
150,4.27077e+06,0.0100687
151,4.24936e+06,0.0100182
152,4.22817e+06,0.00996824
153,4.20727e+06,0.00991896
154,4.18653e+06,0.00987006
155,4.16604e+06,0.00982175
156,4.14586e+06,0.00977419
157,4.12578e+06,0.00972685
158,4.10601e+06,0.00968023
159,4.08642e+06,0.00963406
160,4.06705e+06,0.00958838
161,4.04792e+06,0.00954329
162,4.02897e+06,0.00949861
163,4.0103e+06,0.00945459
164,3.99167e+06,0.00941067
165,3.97337e+06,0.00936753
166,3.95518e+06,0.00932463
167,3.93733e+06,0.00928256
168,3.91948e+06,0.00924048
169,3.9019e+06,0.00919904
170,3.88446e+06,0.00915792
171,3.86731e+06,0.00911748
172,3.85024e+06,0.00907724
173,3.8334e+06,0.00903753
174,3.81669e+06,0.00899814
175,3.80008e+06,0.00895898
176,3.7838e+06,0.0089206
177,3.76754e+06,0.00888228
178,3.75148e+06,0.00884439
179,3.73565e+06,0.00880708
180,3.71988e+06,0.00876991
181,3.70426e+06,0.00873307
182,3.68888e+06,0.00869681
183,3.67355e+06,0.00866069
184,3.65842e+06,0.00862501
